Price,Odometer_km,Doors,Accidents,Year,Location_City,Location_Rural,Location_Suburb,CarAge,Km_per_year,Is_Urban,LogPrice
0.0,-0.20204008902884682,4.0,0.0,2015,True,False,False,-0.2825833162400668,0.026739072070973004,1,0.0
500.0,0.6141750214664284,4.0,1.0,2012,False,False,True,0.29267557753435514,0.3946099353736692,0,6.2166061010848646
300.0,-0.9162283107122127,4.0,0.0,2018,True,False,False,-0.8578422100144887,-0.4523485638581198,1,5.707110264748875
0.0,-1.222308977147941,2.0,0.0,2020,False,False,True,-1.2413481391974366,-0.6719303969922873,0,0.0
0.0,0.05302713300092669,4.0,2.0,2005,False,True,False,1.634946329674673,-0.6719303969922873,0,0.0
200.0,0.2060674662187908,4.0,0.0,2010,True,False,False,0.676181506717303,-0.2053190015821813,1,5.303304908059076
0.0,-1.4263627547717597,2.0,0.0,2021,True,False,False,-1.4331011037889105,-0.9793449633801219,1,0.0
800.0,0.4101212438426096,4.0,1.0,2011,False,False,True,0.4844285421258291,0.07464783566388233,0,6.68586094706836
400.0,0.05302713300092669,4.0,0.0,2014,True,False,False,-0.09083035164859278,0.15150147726084107,1,5.993961427306569
0.0,0.8182287990902473,4.0,2.0,2008,False,True,False,1.059687435900251,0.06000904678827113,0,0.0
0.0,2.6674661588061053,4.0,3.0,2016,True,False,False,-0.4743362808315407,3.91184036968346,1,0.0
700.0,-0.508120755464575,4.0,0.0,2017,False,False,True,-0.6660892454230147,-0.013184897589784608,0,6.55250788703459
500.0,0.5121481326545191,4.0,1.0,2012,True,False,False,0.29267557753435514,0.300503435459026,1,6.2166061010848646
200.0,1.022282576714066,2.0,2.0,2003,False,True,False,2.018452258857621,-0.22321969450072765,0,5.303304908059076
0.0,-1.3243358659598503,4.0,0.0,2019,True,False,False,-1.0495951746059626,-1.016987563345979,1,0.0
500.0,-1.018255199524122,4.0,0.0,2020,False,False,True,-1.2413481391974366,-0.23276673072395232,0,6.2166061010848646
300.0,-0.10001320021693742,4.0,1.0,2013,True,False,False,0.10092261294288117,-0.14831217951850306,1,5.707110264748875
800.0,-0.7631879774943485,4.0,0.0,2017,True,False,False,-0.6660892454230147,-0.37915461948006407,1,6.68586094706836
500.0,1.1243094655259755,4.0,3.0,2006,False,True,False,1.443193365083199,0.07464783566388233,0,6.2166061010848646
